,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_frac,max_voltage,min_frac,min_instability,min_voltage,nsteps,numsites
106,3.684775767,358.2360124,1092.137716,1320.019378,4024.282589,0.268292683,3.684775767,0.0,0.035974075,3.684775767,1,30
107,3.569398565,191.6137983,808.5331597,683.9460165,2885.9771,0.25,4.00559639,0.1,0.041079897,3.13320074,2,9
108,3.62054905,144.6068367,621.9941676,523.5561451,2251.960393,0.25,3.62054905,0.142857143,0.008484359,3.62054905,1,12
109,3.254474495,179.7359118,819.6437091,584.9459409,2667.509546,0.25,3.254474495,0.1,0.065506175,3.254474495,1,9
110,3.685603385,89.42713613,258.0514016,329.5929556,951.0751194,0.071428571,3.685603385,0.0,0.05070852,3.685603385,1,13
111,3.749806203,147.9730516,412.8651839,554.8702668,1548.164428,0.115384615,3.749806203,0.0,0.015116303,3.749806203,1,23
112,4.666143604,139.0064801,393.8772125,648.6241982,1837.887636,0.105263158,4.666143604,0.0,0.00942712,4.666143604,1,17
113,5.321295495,70.77721764,166.69867,376.6264894,887.0528816,0.055555556,5.321295495,0.0,0.026380934,5.321295495,1,17
114,4.478261175,39.39618175,105.350859,176.4263912,471.7886615,0.033333333,4.478261175,0.0,0.020723776,4.478261175,1,29
115,3.583446926,158.1761574,481.6051027,566.8158648,1725.806325,0.127659574,5.12684962,0.0,0.030772402,3.274766387,2,41
116,4.396753485,204.7835671,589.6045118,900.3828623,2592.345692,0.166666667,4.396753485,0.0,0.006431432,4.396753485,1,5
117,4.07557599,204.7835671,491.7378601,834.6109892,2004.115016,0.166666667,4.07557599,0.0,0.044795446,4.07557599,1,5
118,4.13805732,204.7835671,579.1951598,847.4061389,2396.742771,0.166666667,4.13805732,0.0,0.02012535,4.13805732,1,5
119,4.078583049,204.7835671,603.6042871,835.2267855,2461.850214,0.166666667,4.078583049,0.0,0.010971883,4.078583049,1,5
120,4.001693935,204.7835671,604.7377205,819.4811585,2419.975269,0.166666667,4.001693935,0.0,0.029157247,4.001693935,1,5
121,3.742816638,388.9399069,1181.337738,1455.730754,4421.53054,0.285714286,4.27283337,0.0,0.088535913,3.212799905,2,5
